Id,Name
3,Tin học đại cương
4,Nhập môn lập trình
5,Introduction to Programming
6,Nhập môn CNTT và TT (Tiếng Việt và Tiếng Anh)
7,Technical Writing and Presentation
8,"Cấu trúc dữ liệu và thuật toán, Cấu trúc dữ liệu và giải thuật, Data Structures & Algorithms, Thuật toán ứng dụng, Thiết kế và phân tích thuật toán"
9,"Data Structures and Algorithms Basic Lab, Lập trình C cơ bản, C Programming Language/C Programming Introduction"
10,"Toán rời rạc, Tối ưu lập kế hoạch, Tính toán tiến hóa, Mathematical Modelling"
11,"Kiến trúc máy tính, Computer Architecture (bao gồm cả các học phần thực hành), Kiến trúc máy tính tiên tiến"
12,Kỹ thuật lập trình
13,Nguyên lý hệ điều hành/Operating Systems
14,"Mạng máy tính, Máy tính và mạng máy tính/Computer Networks, Mạng thế hệ sau, Các công nghệ truyền thông tiên tiến"
15,Cơ sở dữ liệu/Database (bao gồm cả các học phần Thực hành Cơ sở dữ liệu/Database lab)
16,Lập trình hướng đối tượng/Object-Oriented Language and Theory (Java)
17,Phân tích và thiết kế hệ thống thông tin
18,Nhập môn Trí tuệ nhân tạo/Trí tuệ nhân tạo-Artificial Intelligence
19,"Nhập môn công nghệ phần mềm, Software Engineering, Chuyên đề về công nghệ phần mềm, Phát triển phần mềm sử dụng các mô hình ngôn ngữ lớn, Trí tuệ nhân tạo trong CNPM, Các phương pháp Agile, Các phương pháp Agile và Tư duy thiết kế"
20,Xây dựng chương trình dịch/Compiler Construction/Compiler Construction Lab
21,"Kỹ năng ITSS học bằng tiếng Nhật 1, Kỹ năng ITSS học bằng tiếng Nhật 2"
22,Điện tử cho CNTT (gồm cả học phần thực hành)
23,"Nhập môn an toàn thông tin, Mật mã ứng dụng, AI trong An toàn thông tin, An toàn phần mềm và hệ thống, Ứng dụng TTNT trong an toàn thông tin"
24,Lập trình mạng (bao gồm: thực hành)/Network Programming
25,"Đồ họa và hiện thực ảo, Multimedia, trò chơi và các hệ thống giải trí, Nhập môn công nghệ song sinh thực - số và ứng dụng"
26,Tính toán khoa học
27,Xử lý tín hiệu
28,"Hệ nhúng, Phát triển phần mềm nhúng thông minh, Phát triển phần mềm với AUTOSAR"
29,"Quản trị dự án công nghệ thông tin/Quản trị phát triển phần mềm, Quản trị Dự án CNTT và quản lý thay đổi"
30,"An ninh mạng, Phòng chống tấn công mạng, Các giải pháp và chính sách An ninh mạng, Các giải pháp an ninh cho mạng doanh nghiệp, Chính sách và Quản trị An ninh mạng"
31,"Hệ gợi ý, Hệ trợ giúp quyết định, Các hệ thống thông minh, Hệ thống dựa trên tri thức"
32,"Computer Vision/Thị giác máy tính, Xử lý ảnh, Mô hình tạo sinh hình ảnh và video, Thị giác máy tính"
